BiogeographicRealm.realm,ConservationActionsDocumentation.narrative,HabitatDocumentation.narrative,MapStatus.status,PopulationDocumentation.narrative,PopulationTrend.value,RangeDocumentation.narrative,RedListAssessmentDate.value,RedListCriteria.critVersion,RedListCriteria.dataDeficientReason,RedListCriteria.isManual,RedListCriteria.manualCategory,RedListCriteria.manualCriteria,RedListCriteria.possiblyExtinct,RedListCriteria.possiblyExtinctCandidate,RedListCriteria.yearLastSeen,RedListRationale.value,RedListReasonsForChange.catCritChanges,RedListReasonsForChange.changeReasons,RedListReasonsForChange.otherReason,RedListReasonsForChange.timeframe,RedListReasonsForChange.type,System.value,ThreatsDocumentation.value,UseTradeDocumentation.value,internal_taxon_id
Afrotropical,"No specific conservation measures are planned, although this species occurs in several protected areas, including Kosi Bay. Coastal ecosystem conservation in general will benefit this species (Samways 2006 in press). More research is needed to gather data on range, population status, habitat and threats. Further searches are urgently required, especially of its larval habitat which has not yet been confirmed (Samways 2006 in press).",Frequents grassland in close vicinity to sedge- and grass-pans. Larval habitat unknown.,Missing,Population size and trends are unknown.,Unknown,"This species has only been recorded from South Africa (coastal, northern Kwazulu Natal) and southern Mozambique. So far it is known from only one record from 2001 in Mozambique, but it is likely to be more widespread here due to the present availability of suitable habitat and the species' dispersal ability.",01/04/2007,3.1,,true,DD,,false,false,,"This species had not been seen for many years, but was re-discovered in December 2000 at Kosi Bay, South Africa. It is under general threat from human population growth and from indirect pressures from tourism. In South Africa it is nationally listed as Vulnerable. In Mozambique, it is known from only one, recent record. It is likely to be more widespread here because of the availability of suitable habitat, however more data are required to be able to confirm its status there. Currently there are insufficient data to be able to assess the species beyond Data Deficient.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),Overgrazing and increasing urbanization could become a threat.,,22816
Afrotropical,"Further searches are urgently required. Removal of alien invasive trees, particularly <em>Acacia mearnsii</em>, should continue. Translocation to a protected area should be considered as this species is highly threatened and currently does not occur in a protected area. Research into population numbers and range, and trends/monitoring of the species would be valuable.","Shallow, clear, rocky streams and rivers with wooded banks.",Missing,"The current population size is estimated to be at less than 1,000 (per generation) and declining. At the two known sites, population levels are low, numbering no more than 30 or so individuals (Samways 2006 in press). However, it is suspected that other populations exist in the area but have to be discovered, hence it is estimate of less than 1,000.",Decreasing,The species is endemic to South Africa. It was formerly known from a few isolated localities in the Amatola-Winterberg region of the eastern Cape. Today it is only known from two sites on the Kubusi River in the vicinity of Stutterheim.,01/04/2007,3.1,,true,EN,"A2c; B1ab(i,ii,iii)+2ab(i,ii,iii)",false,false,,<em>Metacnemis valida</em> was never widespread and now has disappeared from some of its former known sites (Pinhey 1984). It is now known from only two sites which are not within any protected areas and are threatened by ongoing habitat loss and degradation. The population decline seen in recent years is expected to continue. Both the extent of occurrence and area of occupancy are less than 200 km². It is therefore assessed as Endangered.,Same category but change in criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"There are multiple synergistic threats to this species, including loss of habitat principally through cattle farming, alien invasive trees shading the habitat (especially <em>Acacia mearnsii</em>), pollution of the Kubusi River due to domestic run-off and siltation of the stream. The introduced rainbow trout (<em>Onycorhynchus mykiss</em>) may also be a threat.",,42840
,,,,,,,30/04/2004,3.1,,true,EN,"A4c; B1ab(i,ii,iii)+2ab(i,ii,iii)",false,false,,"<em>Metacnemis valida</em> was never widespread and now has disappeared from some of its former sites (Pinhey 1984). It is now known from only two sites which are not within any protected areas and are threatened by ongoing habitat loss and degradation. The population decline seen in recent years is expected to continue (EN A4c). Extent of occurrence and area of occupancy are less than 200 km² (EN B1ab(i,ii,iii)+2ab(i,ii,iii)).",,,,,,,,,42840
Afrotropical,"This species is not known to occur within any protected areas. More searches are required to discover further subpopulations, especially in reserves. Fencing off portions of the riverbank is recommended. Translocation to a reserve is also a consideration. Removal of alien invasive trees has greatly benefited this species, as the 2001 Mpumalanga site was formerly invaded by <em>Acacia mearnsii</em>. Indeed, it is only known from this restored site.","Fine grasses and reeds lining swift, clear, upland rivers (Samways 2006 in press).",Missing,"Population size is estimated to be around 2,000 (per generation) and currently stable.",Stable,"This species is endemic to South Africa. The type series is from Nqutu, KwaZulu-Natal (Pinhey 1962) but the species has not been rediscovered in the area. This area is now heavily grazed by livestock. Prior to 1962, there are isolated records from the Western Cape, eastern Cape and KwaZulu-Natal, although the Cape records are doubtful taxonomically. After intensive searches over many years, the species was only rediscovered (at 1,300 m asl) in January 2001, in Mpumalanga by M.J. Samways.",01/04/2007,3.1,,true,VU,D2,false,false,,"<em>Pseudagrion newtoni</em> is known from only a few specimens. It is currently known to exist in only one location, where it is abundant, and it is expected to occur elsewhere in the area because extensive alien invasive tree removal is underway to improve habitat there. It is clear that the population has suffered a severe decline in the recent past. In addition to the species' natural rarity, its specialized riparian habitat (tall grasses) is under threat from increasing pressure from domestic livestock (especially cattle) visiting the water's edge. Not listed as Endangered because it occurs in a type of general habitat that is very extensive and has not been fully explored and because the removal of alien trees has an extremely beneficial effect on this species; there is a trade-off between improvement of habitat by tree removal and deterioration through overgrazing. It is assessed as Vulnerable based on its restricted range.",Same category but change in criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"With more extensive and intensive livestock pressure, the grasses on the banks of rivers have become increasingly cropped and trampled. This may be synergistic with other impacts such as the growth of alien invasive riparian vegetation. The type locality is highly threatened as a result of the above factors. However, the population appears to be stabilized and it is also suspected that it is present at other localities, where it has not yet been discovered.",,42843
,,,,,,,30/04/2004,3.1,,true,VU,"B2ab(ii,iii); D2",false,false,,"<em>Pseudagrion newtoni</em> is known from only a few specimens from scattered localities. In addition to the species’ natural rarity, its specialized riparian habitat is under threat from increasing pressure from domestic livestock (especially cattle) visiting the water’s edge.",,,,,,,,,42843
Afrotropical,"Currently it occurs in the Limietberge National Reserve. Searches for <em>C. triceraticus</em> must continue, to establish whether it exists in more protected areas. Ongoing removal of alien trees is likely to be of great benefit to this species. Research into population numbers and range, biology and ecology, habitat status, threats, and trends/monitoring would be valuable.","Pools in streams, and occasionally in reservoirs. Rocky, shallow rivers, with deposition pools, and possibly farm dams (Samways 2006).",Missing,Current population size is not known.,Unknown,"This endemic South African species has a wide range throughout the Western Cape (Pinhey 1984b). It was discovered in 1962 (Balinsky 1963) and very few specimens are known. As it is a large and conspicuous insect, and is not easily overlooked, it must be extremely scarce. Despite many revisits to the type locality, near Franschhoek, the species has not been rediscovered there, although it has recently been discovered in the Cedarberg and Bainskloof, where invasive trees have been cleared. Its extent of occurrence is less than 20,000 km² and area of occupancy is less than 2,000 km².",01/04/2007,3.1,,true,VU,"A2ab; B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",false,false,,"<em>Ceratogomphus triceraticus</em> is endemic to South Africa and known from very few specimens. Habitat has deteriorated markedly, especially the type locality near Franschhoek. However, the national removal of alien riparian trees is beneficial for this species, which was recorded at Bainskloof in 2004. Its status appears to have stabilized, but the species remains in the Vulnerable category until this can be certain.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"This species faces many threats, which are probably synergistic, including a severe alien invasive tree problem, and loss of habitat to the wine industry and, to a lesser extent, cattle farming and plantation forestry. Over-extraction of water from streams and possibly pollution from the wine industry are increasing threats. Alien invasive trout may also be a problem.",,42845
,,,,,,,30/04/2004,3.1,,true,VU,"A2ac; B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",false,false,,"<em>Ceratogomphus triceraticus</em> is known from very few specimens. This species was recorded in 1968 (Pinhey 1985), and then in 1998 by D.R. Paulson. It was not found between 1993 and 2000, despite very intensive searches. However, in 2003 it was recorded twice. Habitat has deteriorated markedly, especially the type locality near Franschoek.",,,,,,,,,42845
,,,,,,,30/04/2004,3.1,,true,LC,,false,false,,"In 1996, <em>Chlorolestes draconicus</em> was assessed as Lower Risk, Near Threatened (LR/nt). Since then, further subpopulations have been found, all in a large protected area of the Drakensberg. Also, the habitat is being improved through removal of alien pine trees through the ""Working for Water"" programme. Range is 20,000 km², population is estimated at greater than 12,000 and is now stable.",,New Information,,,Nongenuine Change,,,,4730
Afrotropical,Much of the population occurs within protected areas. Invasive trees are being removed. No additional measures are currently required for this species.,"Clear, high montane streams (higher than 1,700 m asl) with an abundance of fringing grasses, herbs and bushes.",Missing,"The population is probably at least 10,000 individuals and stable.",Stable,"This species is now known to be widespread throughout high elevation (higher than 1,700 m asl) in Lesotho, South African Drakensberg Mountains.",01/04/2007,3.1,,true,LC,,false,false,,"In 1996, <em>Chlorolestes draconicus</em> was assessed as Lower Risk, Near Threatened (LR/nt). Since then, further subpopulations have been found, all in a large protected area of the Drakensberg. Also, the habitat is being improved through removal of alien pine trees through the ""Working for Water"" programme. Its distribution range is 20,000 km², population is estimated at greater than 12,000 and is now stable. Therefore, it is currently assessed as Least Concern.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"With proclamation of the transfrontier Drakensberg Park, a huge area is now protected which adequately conserves this species. Invasive pine trees were formerly a threat, but these are now being removed.",,4730
,,,,,,,30/04/2004,3.1,,true,EN,"A3c; B2ab(i,ii,iii,iv)",false,false,,"<em>Chlorolestes apricans</em> qualifies for an Endangered assessment due to the small number and small size of subpopulations, several of which have been lost between 1975 (when the species was known from ten sites) and 2000 (when it was known only from two sites) through habitat loss and modification. The population is expected to decline by at least 50% over the next ten years if habitat continues to decline at its current rate (EN A3c). Current area of occupancy is less than 500 km² and there is continuing decline in range, habitat and population size (EN B2ab(i,ii,iii,iv)).",,,,,,,,,4731
Afrotropical,"This species is not known from any protected areas. Surveys on further localities are urgently required. Removal of <em>Acacia mearnsii</em> should continue. Liaison with local farmers is essential so that cattle may enter streams at certain points only, fencing off other areas of the stream.","The species inhabits clear, shallow, rocky streams with riffles and glides and with an abundance of long grass, herbs and indigenous overhanging bushes (used as oviposition sites).",Missing,"It is estimated that no more than 1,000 adults (per generation) exist, and even this may be a generous estimate. Population trends are unknown.",Decreasing,"In 1975, this species was known from ten sites (Wilmot 1975), whereas in 2000 it was known from only two, showing a decline in extent of occurrence and area of occupancy, as well as decline in extent and quality of suitable habitat. It is currently known only from the Kubusi (near Stutterheim) and the Thorn River, eastern Cape, South Africa.",01/04/2007,3.1,,true,EN,"B2ab(i,ii,iii,iv)",false,false,,"<em>Chlorolestes apricans</em> qualifies for an Endangered assessment due to the small number and small size of subpopulations, several of which have been lost between 1975 (when the species was known from ten sites) and 2000 (when it was known only from two sites) through habitat loss and modification. The population is expected to decline over the next ten years if habitat loss and degradation continues. Current area of occupancy is less than 500 km² and there is continuing decline in range, habitat and population size. It is therefore listed as Endangered.",Same category but change in criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"Populations are severely threatened by cattle trampling stream banks and the synergistic effects of shading of the habitat by the alien invasive tree <em>Acacia mearnsii</em>. Further adverse synergistic effects include detergent entering the streams at Stutterheim, and possibly also the effects of direct predation from rainbow trout <em>Oncorhynchus mykiss</em>.",,4731
Afrotropical,,Swampy streams and pools.,,Population size is unknown.,Unknown,"Global distribution: North Malawi, Tanzania, Uganda, Zimbabwe, Zambia and Mocambique, likely to occur in Kenya as well. In East Africa there are various records of the species from Uganda, Malawi and Tanzania.",31/01/2006,3.1,,true,LC,,false,false,,"Assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",,,,,,Terrestrial|Freshwater (=Inland waters),Drainage and destruction of swampy habitats.,,59781
Afrotropical,"No conservation measures known but information on taxonomy, population ecology, habitat status and population trends would be valuable.",Swampy streams and pools.,Missing,Population size is unknown.,Unknown,"The species has been recorded from north Malawi, Tanzania, Uganda, Zimbabwe, Zambia and Mozambique, likely to occur in Kenya as well. Most records are from eastern Africa (Malawi, Tanzania, Uganda, Zimbabwe, Zambia, Mozambique, Burundi), but a few are from western Africa (west to Guinea) as well. Confusion with <em>A. hamoni</em> must be resolved.<br/><br/>Within southern Africa, this species occurs in the tropical north. It may occur in the Caprivi, but it has not yet been recorded here. <br/><br/>In western Africa, it is present from Gambia, Cote D'Ivoire and Nigeria.<br/><br/>It has not been found in central Africa, but occurrence in appropriate habitats likely.",01/05/2009,3.1,,true,LC,,false,false,,"It is assessed as Least Concern in all regions in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a threatened category.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),Threats to the species are drainage and destruction of swampy habitats.,,59781
Afrotropical,,"Pools, slow streams and rivers, lake shores with dense aquatic vegetation.",,Population size is unknown.,Unknown,"Global distribution: Widespread in tropical sub-Saharan Africa except rain forest areas, and Madagascar. In East Africa the species is common and widespread in Kenya, Tanzania, Uganda, and Malawi. Its occurrence in Burundi is assumed.",31/01/2006,3.1,,true,LC,,false,false,,"Assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",,,,,,Terrestrial|Freshwater (=Inland waters),,,59793
Afrotropical,,"Swampy streams, rivers, pools.",,Population size is unknown.,Unknown,"Global distribution: South Africa to Tanzania and south DRC. In ewast Africa the species has been recorded from the Ufipa Plateau (southTanzania) and Malawi. However, the Malawi specimen, described as <em>Africallagma sinuatum f. fugax</em> (Pinhey, 1962) differs significantly from <em>A. sinuatum</em> (Ris, 1921) and will become a good species (May and Dijkstra in prep.). All records need to be checked to confirm whether they are original <em>A. sinuatum</em> or belong to the new species.",31/01/2006,3.1,,true,LC,,false,false,,"Assessed as Least Concern in view of its wide distribution, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",,,,,,Terrestrial|Freshwater (=Inland waters),,,59797
Afrotropical,"No conservation measures known but information on taxonomy, population ecology, habitat status and population trends would be valuable.","Swampy streams, rivers, pools. A highland/upland species.",Missing,Population size is unknown.,Unknown,"The species has been recorded from South Africa to Tanzania and south Democratic Republic of Congo, also recorded from Ethiopia. It is likely to occurs in Kenya and Mozambique.<br/><br/>In central Africa, it is present in southern Democratic Republic of Congo and northern Zambia.<br/><br/>In eastern Africa, it was found in Kenya, Tanzania, Uganda, Malawi and Burundi: Ufipa Plateau (south Tanzania).<br/><br/>In northeastern Africa, the species has been recorded from Ethiopia by Dumont (1983), but later specimens were re-identified as <em>A. elongatum</em>. <br/><br/>There are few records from South Africa, where this species is widespread in Zambia and Zimbabwe.",01/05/2009,3.1,,true,LC,,false,false,,"This is a widespread species with no known major widespread threats and that is unlikely to be declining fast enough to qualify for listing in a threatened category. Globally, therefore, it is assessed as Least Concern.<br/><br/>Thought the species was previously listed for Ethiopia by Dumont (1983), later specimens were re-identified as <em>A. elongatum</em>. Records from the region have not been confirmed, hence the species is Not Applicable for assessment in the northeastern Africa assessment region.<br/><br/>In central, eastern and southern Africa, the species is assessed as Least Concern.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"The major threats to this species are habitat loss due to agriculture, groundwater extraction, and water pollution.",,59797
Afrotropical,,Standing water in or near forest.,,Population size is unknown.,Unknown,"Global distribution: Uganda, Malawi and north Botswana to West Africa. In East Africa the species is known from Uganda and Malawi. No precise locality is known.",31/01/2006,3.1,,true,LC,,false,false,,"Previously listed as <em>Brachythemis liberiensis</em>, which was found to be a synonym of <em>Parazyxomma flavicans</em>, a widespread and common species (Dijkstra 2003).",,Taxonomy,,,Nongenuine Change,Terrestrial|Freshwater (=Inland waters),Forest destruction.,,59755
Afrotropical,"No information available but research into population numbers and range, and trends/monitoring of the species would be valuable.",The species is know from standing waters in or near forest. In South Africa it is confined to coastal swamp (Samways pers. comm.).,,Population size is unknown.,Unknown,"The species has been recorded from Uganda, Malawi and north Botswana to Senegal.<br/><br/>In central Africa, it is known from Democratic Republic of Congo, Gabon, Zambia; the record from Cameroon (Tsuda) needs confirmation, and for Equatorial Guinea presence is assumed.<br/><br/>In eastern Africa, it has been recorded from Kenya, Tanzania, Uganda, Malawi and Burundi; for Uganda and Malawi no precise locality is known. <br/><br/>In southern Africa, the species occurs in the tropical north and not in the arid southwest or at the Cape. So far it has not been recorded from Angola or Mozambique. This is most probably due to the species' crepuscular behaviour. In South Africa it is a highly localised species known only from Richards Bay (Pinhey 1985) and Sodwana Bay, but it is also likely to occur at Kosi Bay (Samways pers. comm.).<br/><br/>In western Africa, the species is known from Senegal to Nigeria.",01/05/2009,3.1,,true,LC,,false,false,,"The species is assessed as Least Concern. This is a widespread species with no significant threats across its range. It was previously listed as <em>Brachythemis liberiensis</em>, which was found to be a synonym of <em>Parazyxomma flavicans</em>, a widespread and common species (Dijkstra 2003).",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"The main threats to the to the population in South Africa are forest destruction in central and eastern Africa, and tree removal through urbanisation at Richards Bay and from small-farmer agriculture at Sodwana Bay&#160; (Samways pers. comm.). No information is available about threats outside this region.",,59755
