Reference_type,access_date,alternate_title,author,date,edition,externalBibCode,internal_taxon_id,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,,"Pinhey, E.",,,,184261,,,,,159-164,,,,"Revista de Biologia, Lisboa",,,,"Odonata from Luanda and the Lucala River, Angola",Journal Article,,5,1965
Assessment,,,"Pinhey, E.",,,,184261,,,,,71-76,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,"A collection of Odonata from Dundo, Angola. With the descriptions of two new species of Gomphids",Journal Article,,56,1961
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,184261,,,,,,Nylstroom,Privately published by the authors,,,,,,A fieldguide to the dragonflies of South Africa,Book,,,2002
Assessment,,,"Samways, M.J.",,,,184261,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,,"Kipping, J.",,,,184261,,,,,In press,,,,Cimbebasia Memoirs,,,,The Odonata of Botswana - an annotated checklist,Journal Article,,5,2006
Assessment,,,"Longfield, C.",,,,184261,,,,,1–31,,,,"Arquivos do Museu Bocage, Lisboa",,,,The Odonata of South Angola,Journal Article,,16,1947
Assessment,,,"Pinhey, E.",,,,184261,,,,,17-Jan,,,,Arnoldia,,,,Odonata of Ngamiland,Journal Article,,15,1967
Assessment,,,IUCN,04-May-06,,,184261,,,05-Jun-06,,,"Gland, Switzerland and Cambridge, UK",IUCN - The World Conservation Union,,,,IUCN 2006,,2006 IUCN Red List of Threatened Species,electronic source,www.iucnredlist.org,2006,2006
Assessment,,,"Samways, M.J.",,,,22816,,,,,341-368,,,,Odonatologica,,,Published,National Red List of South African Odonata,journal article,,35,2006
Assessment,,,"Samways, M.J.",,,,22816,0960-3115 (Print) 1572-9710 (Online),,9,,2575-2586,,,,Biodiversity and Conservation,,,,Honing Red List assessments of lesser known taxa in biodiversity hotspots,Journal Article,10.1007/s10531-006-9023-z,16,2006
Assessment,,,"Samways, M.J.",,,,22816,,,,,255-262,,,,International Journal of Odonatology,,,,Critical species of Odonata in southern Africa,Journal Article,,7,2004
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,22816,,,,,,Nylstroom,Privately published by the authors,,,,,,A fieldguide to the dragonflies of South Africa,Book,,,2002
Assessment,,,"Samways, M.J.",,,,22816,,,,,43-52,,,,African Entomology,,,Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,,10,2002
Assessment,,,"Samways, M.J.",,,,42840,,,,,341-368,,,,Odonatologica,,,Published,National Red List of South African Odonata,journal article,,35,2006
Assessment,,,"Samways, M.J.",,,,42840,0960-3115 (Print) 1572-9710 (Online),,9,,2575-2586,,,,Biodiversity and Conservation,,,,Honing Red List assessments of lesser known taxa in biodiversity hotspots,Journal Article,10.1007/s10531-006-9023-z,16,2006
Assessment,,,"Samways, M.J.",,,,42840,,,,,255-262,,,,International Journal of Odonatology,,,,Critical species of Odonata in southern Africa,Journal Article,,7,2004
Assessment,,,"Samways, M.J. and Taylor, S.",,,,42840,,,,,78-80,,,,South African Journal of Science,,,,Impacts of invasive alien plants on red-listed South African dragonflies (Odonata),Journal Article,,100,2004
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,42840,,,,,,Nylstroom,Privately published by the authors,,,,,Published,A fieldguide to the damselflies of South Africa,book,,,2005
Assessment,,,"Samways, M.J.",,,,42840,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,,"Samways, M.J.",,,,42840,,,,,43-52,,,,African Entomology,,,Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,,10,2002
Assessment,,,"Samways, M.J.",,,,42843,,,,,341-368,,,,Odonatologica,,,Published,National Red List of South African Odonata,journal article,,35,2006
Assessment,,,"Samways, M.J.",,,,42843,0960-3115 (Print) 1572-9710 (Online),,9,,2575-2586,,,,Biodiversity and Conservation,,,,Honing Red List assessments of lesser known taxa in biodiversity hotspots,Journal Article,10.1007/s10531-006-9023-z,16,2006
Assessment,,,"Samways, M.J.",,,,42843,,,,,255-262,,,,International Journal of Odonatology,,,,Critical species of Odonata in southern Africa,Journal Article,,7,2004
Assessment,,,"Samways, M.J. and Taylor, S.",,,,42843,,,,,78-80,,,,South African Journal of Science,,,,Impacts of invasive alien plants on red-listed South African dragonflies (Odonata),Journal Article,,100,2004
Assessment,,,"Samways, M.J., Taylor, S. and Tarboton, W.",,,,42843,,,,,1329-1330,,,,Conservation Biology,,,,Extinction reprieve following alien removal,Journal Article,,19,2005
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,42843,,,,,,Nylstroom,Privately published by the authors,,,,,Published,A fieldguide to the damselflies of South Africa,book,,,2005
Assessment,,,"Samways, M.J.",,,,42843,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,,"Samways, M.J.",,,,42843,,,,,43-52,,,,African Entomology,,,Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,,10,2002
Assessment,,,"Samways, M.J.",,,,42845,,,,,341-368,,,,Odonatologica,,,Published,National Red List of South African Odonata,journal article,,35,2006
Assessment,,,"Samways, M.J.",,,,42845,0960-3115 (Print) 1572-9710 (Online),,9,,2575-2586,,,,Biodiversity and Conservation,,,,Honing Red List assessments of lesser known taxa in biodiversity hotspots,Journal Article,10.1007/s10531-006-9023-z,16,2006
Assessment,,,"Samways, M.J.",,,,42845,,,,,255-262,,,,International Journal of Odonatology,,,,Critical species of Odonata in southern Africa,Journal Article,,7,2004
Assessment,,,"Samways, M.J. and Taylor, S.",,,,42845,,,,,78-80,,,,South African Journal of Science,,,,Impacts of invasive alien plants on red-listed South African dragonflies (Odonata),Journal Article,,100,2004
Assessment,,,"Balinsky, B.I.",,,,42845,,,,,228-255,,,,Journal of the Entomological Society of southern Africa,,,,A contribution towards the systematics of dragonflies of southern Africa (Odonata),Journal Article,,26,1963
Assessment,,,"Pinhey, E.",,,,42845,,,,,147-188,,,,Journal of the Entomological Society of southern Africa,,,,A survey to the dragonflies (Odonata) of South Africa. Part 1,Journal Article,,47,1984
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,42845,,,,,,Nylstroom,Privately published by the authors,,,,,Published,A fieldguide to the damselflies of South Africa,book,,,2005
Assessment,,,"Pinhey, E.",,,,42845,,,,,1-48,,,,Journal of the Entomological Society of southern Africa,,,,A survey of the dragonflies (Odonata) of South Africa. Part 2. Anisoptera,Journal Article,,48,1985
Assessment,,,"Samways, M.J.",,,,42845,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,,"Samways, M.J.",,,,42845,,,,,43-52,,,,African Entomology,,,Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,,10,2002
Assessment,,,"Samways, M.J.",,,,4730,,,,,341-368,,,,Odonatologica,,,Published,National Red List of South African Odonata,journal article,,35,2006
Assessment,,,"Samways, M.J.",,,,4730,0960-3115 (Print) 1572-9710 (Online),,9,,2575-2586,,,,Biodiversity and Conservation,,,,Honing Red List assessments of lesser known taxa in biodiversity hotspots,Journal Article,10.1007/s10531-006-9023-z,16,2006
Assessment,,,"Samways, M.J.",,,,4730,,,,,255-262,,,,International Journal of Odonatology,,,,Critical species of Odonata in southern Africa,Journal Article,,7,2004
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,4730,,,,,,Nylstroom,Privately published by the authors,,,,,Published,A fieldguide to the damselflies of South Africa,book,,,2005
Assessment,,,"Samways, M.J.",,,,4730,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,,"Samways, M.J.",,,,4730,,,,,43-52,,,,African Entomology,,,Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,,10,2002
Assessment,,,"Samways, M.J.",,,,4731,,,,,341-368,,,,Odonatologica,,,Published,National Red List of South African Odonata,journal article,,35,2006
Assessment,,,"Samways, M.J.",,,,4731,0960-3115 (Print) 1572-9710 (Online),,9,,2575-2586,,,,Biodiversity and Conservation,,,,Honing Red List assessments of lesser known taxa in biodiversity hotspots,Journal Article,10.1007/s10531-006-9023-z,16,2006
Assessment,,,"Samways, M.J.",,,,4731,,,,,255-262,,,,International Journal of Odonatology,,,,Critical species of Odonata in southern Africa,Journal Article,,7,2004
Assessment,,,"Samways, M.J. and Taylor, S.",,,,4731,,,,,78-80,,,,South African Journal of Science,,,,Impacts of invasive alien plants on red-listed South African dragonflies (Odonata),Journal Article,,100,2004
Assessment,,,"Wilmot, B.C.",,,,4731,,,,,13-17,,,,Journal of the Entomological Society of south Africa,,,,A new species of <i>Chlorolestes</i> from the Eastern Cape Province,Journal Article,,38,1975
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,4731,,,,,,Nylstroom,Privately published by the authors,,,,,Published,A fieldguide to the damselflies of South Africa,book,,,2005
Assessment,,,"Samways, M.J.",,,,4731,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,,"Samways, M.J.",,,,4731,,,,,43-52,,,,African Entomology,,,Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,,10,2002
Assessment,,6979,"Pinhey, E.",,,,59781,,,,,,Book,,,,,,,A survey of the dragonflies of Eastern Africa,rldb,,,1961
Assessment,,6978,"Pinhey, E.",,,,59781,,,,,,Journal,,,,,,,The genus <i>Aciagrion</i> Sélys (Odonata),rldb,,,1972
Assessment,,6723,"Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59781,,,,,,,,,Tijdschrift voor Entomologie,,,,"An annotated checklist of the dragonflies (Odonata) of eastern Africa, with critical lists for Ethiopia, Kenya, Malawi, Tanzania and Uganda, new records, taxonomic notes and descriptions of new species",journal article,,,in prep
Assessment,,"Studies in Afrotropical Zoology (Monograph Series of the Africa Museum in Tervuren, Belgium)","Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59781,,,,,1-264,,,,Studies in Afrotropical Zoology,,,Published,The Dragonflies and Damselflies of Eastern Africa: Handbook for all Odonata from Sudan to Zimbabwe.,journal article,,298,2014
Assessment,,,"Pinhey, E.",,,,59781,,,1,,1–59,,,,Occasional Papers of the National Museum of Southern Rhodesia (B),,,,The genus <i>Aciagrion</i> Sélys (Odonata),Journal Article,,5,1972
Assessment,,,"Pinhey, E.",,,,59781,,,,,,London,British Museum (Natural History),,,,,,A survey of the dragonflies of Eastern Africa,Book,,,1961
Assessment,,,"Pinhey, E.",,,,59781,,,,,1-64,,,,Smithersia,,,,A check-list of the Odonata of Zimbabwe and Zambia,Journal Article,,3,1984
Assessment,,,"Pinhey, E.",,,,59781,,,,,524-601,,,,"Occasional papers of the national Museums and Monuments of Rhodesia, Series B",,,,"Dragonflies (Odonata) of Botswana, with ecological notes",Journal Article,,5,1976
Assessment,,,"Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59781,,,,,,,,,,,,,"An annotated checklist of the dragonflies (Odonata) of eastern Africa, with critical lists for Ethiopia, Kenya, Malawi, Tanzania and Uganda, new records, taxonomic notes and descriptions of new species",Journal Article,,in prep.,2005
Assessment,,,"Clausnitzer, V. and Dijkstra, K.–D.B.",,,,59781,,,,,,,,,,,,Published,The dragonflies of Eastern Africa. An identification key,journal article,,,in prep
Assessment,,,IUCN,04-May-06,,,59781,,,05-Jun-06,,,"Gland, Switzerland and Cambridge, UK",IUCN - The World Conservation Union,,,,IUCN 2006,,2006 IUCN Red List of Threatened Species,electronic source,www.iucnredlist.org,2006,2006
Assessment,,6979,"Pinhey, E.",,,,59793,,,,,,Book,,,,,,,A survey of the dragonflies of Eastern Africa,rldb,,,1961
Assessment,,"Studies in Afrotropical Zoology (Monograph Series of the Africa Museum in Tervuren, Belgium)","Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59793,,,,,1-264,,,,Studies in Afrotropical Zoology,,,Published,The Dragonflies and Damselflies of Eastern Africa: Handbook for all Odonata from Sudan to Zimbabwe.,journal article,,298,2014
Assessment,,6699,"Pinhey, E.",,,,59797,,,,,,Journal,,,,,,,A check-list of the Odonata of Zimbabwe and Zambia.,rldb,,,1984
Assessment,,6979,"Pinhey, E.",,,,59797,,,,,,Book,,,,,,,A survey of the dragonflies of Eastern Africa,rldb,,,1961
Assessment,,6771,"May, L.M.",,,,59797,,,,,,Journal,,,,,,,Phylogeny and taxonomy of the damselfly genus Enallagma and related taxa (Odonata: Zygoptera: Coenagrionidae),rldb,,,2002
Assessment,,6975,"May, L.M. and Dijkstra, K.-D.",,in prep.,,59797,,,,,,Journal,,,,,,,Key to the African damselflies formerly classified as <i>Enallagma</i>,rldb,,,2005
Assessment,,6723,"Dijkstra, K.-D.B. and Clausnitzer, V.",,,,59797,,,,,,,,,Tijdschrift voor Entomologie,,,,"An annotated checklist of the dragonflies (Odonata) of eastern Africa, with critical lists for Ethiopia, Kenya, Malawi, Tanzania and Uganda, new records, taxonomic notes and descriptions of new species",journal article,,,in prep
