Reference_type,access_date,alternate_title,author,date,edition,externalBibCode,internal_taxon_id,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,,"Samways, M.J.",,,,184261,,"Odonata, dragonflies, South Africa",,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata).,Journal Article,,28,1999
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,184261,,"Odonata, dragonflies, South Africa",,,,Nylstroom,Privately published by the authors,,,,,,A fieldguide to the damselflies of South Africa.,Book,,,2005
Assessment,,,"Samways, M.J.",,,,184261,,"Odonata, dragonflies, South Africa, red listing",,,43-52,,,,African Entemology,,,,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa.,Journal Article,,10,2002
Assessment,,"","Pinhey, E.","","",,184261,"","Odonata, dragonflies, Angola, Gomphidae","","",71-76,"","","",Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,"","",Published,"A collection of Odonata from Dundo, Angola. With the descriptions of two new species of Gomphids.",journal article,"",56,1961
Assessment,,"","Tarboton, W. and Tarboton, M.","","",,184261,"","Odonata, dragonflies, South Africa","","","",Nylstroom,Privately published by the authors,"","","","",Published,A fieldguide to the dragonflies of South Africa,book,"","",2002
Assessment,,"","Samways, M.J.","","",,22816,"","","","",341-368,"","","",Odonatologica,"","",Published,National Red List of South African Odonata,journal article,"",35,2006
Assessment,,,"Samways, M.J.",,,,22816,0960-3115 (Print) 1572-9710 (Online),,9,,2575-2586,,,,Biodiversity and Conservation,,,,Honing Red List assessments of lesser known taxa in biodiversity hotspots,Journal Article,10.1007/s10531-006-9023-z,16,2006
Assessment,,,"Samways, M.J.",,,,22816,,,,,255-262,,,,International Journal of Odonatology,,,,Critical species of Odonata in southern Africa,Journal Article,,7,2004
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,22816,,,,,,Nylstroom,Privately published by the authors,,,,,,A fieldguide to the dragonflies of South Africa,Book,,,2002
Assessment,,"","Samways, M.J.","","",,22816,"","","","",43-52,"","","",African Entomology,"","",Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,"",10,2002
Assessment,,"","Samways, M.J.","","",,42840,"","","","",341-368,"","","",Odonatologica,"","",Published,National Red List of South African Odonata,journal article,"",35,2006
Assessment,,,"Samways, M.J.",,,,42840,0960-3115 (Print) 1572-9710 (Online),,9,,2575-2586,,,,Biodiversity and Conservation,,,,Honing Red List assessments of lesser known taxa in biodiversity hotspots,Journal Article,10.1007/s10531-006-9023-z,16,2006
Assessment,,,"Samways, M.J.",,,,42840,,,,,255-262,,,,International Journal of Odonatology,,,,Critical species of Odonata in southern Africa,Journal Article,,7,2004
Assessment,,,"Samways, M.J. and Taylor, S.",,,,42840,,,,,78-80,,,,South African Journal of Science,,,,Impacts of invasive alien plants on red-listed South African dragonflies (Odonata),Journal Article,,100,2004
Assessment,,"","Tarboton, W. and Tarboton, M.","","",,42840,"","","","","",Nylstroom,Privately published by the authors,"","","","",Published,A fieldguide to the damselflies of South Africa,book,"","",2005
Assessment,,,"Samways, M.J.",,,,42840,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,"","Samways, M.J.","","",,42840,"","","","",43-52,"","","",African Entomology,"","",Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,"",10,2002
Assessment,,"","Samways, M.J.","","",,42843,"","","","",341-368,"","","",Odonatologica,"","",Published,National Red List of South African Odonata,journal article,"",35,2006
Assessment,,,"Samways, M.J.",,,,42843,0960-3115 (Print) 1572-9710 (Online),,9,,2575-2586,,,,Biodiversity and Conservation,,,,Honing Red List assessments of lesser known taxa in biodiversity hotspots,Journal Article,10.1007/s10531-006-9023-z,16,2006
Assessment,,,"Samways, M.J.",,,,42843,,,,,255-262,,,,International Journal of Odonatology,,,,Critical species of Odonata in southern Africa,Journal Article,,7,2004
Assessment,,,"Samways, M.J. and Taylor, S.",,,,42843,,,,,78-80,,,,South African Journal of Science,,,,Impacts of invasive alien plants on red-listed South African dragonflies (Odonata),Journal Article,,100,2004
Assessment,,,"Samways, M.J., Taylor, S. and Tarboton, W.",,,,42843,,,,,1329-1330,,,,Conservation Biology,,,,Extinction reprieve following alien removal,Journal Article,,19,2005
Assessment,,"","Tarboton, W. and Tarboton, M.","","",,42843,"","","","","",Nylstroom,Privately published by the authors,"","","","",Published,A fieldguide to the damselflies of South Africa,book,"","",2005
Assessment,,,"Samways, M.J.",,,,42843,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,"","Samways, M.J.","","",,42843,"","","","",43-52,"","","",African Entomology,"","",Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,"",10,2002
Assessment,,"","Samways, M.J.","","",,42845,"","","","",341-368,"","","",Odonatologica,"","",Published,National Red List of South African Odonata,journal article,"",35,2006
Assessment,,,"Samways, M.J.",,,,42845,0960-3115 (Print) 1572-9710 (Online),,9,,2575-2586,,,,Biodiversity and Conservation,,,,Honing Red List assessments of lesser known taxa in biodiversity hotspots,Journal Article,10.1007/s10531-006-9023-z,16,2006
Assessment,,,"Samways, M.J.",,,,42845,,,,,255-262,,,,International Journal of Odonatology,,,,Critical species of Odonata in southern Africa,Journal Article,,7,2004
Assessment,,,"Samways, M.J. and Taylor, S.",,,,42845,,,,,78-80,,,,South African Journal of Science,,,,Impacts of invasive alien plants on red-listed South African dragonflies (Odonata),Journal Article,,100,2004
Assessment,,,"Balinsky, B.I.",,,,42845,,,,,228-255,,,,Journal of the Entomological Society of southern Africa,,,,A contribution towards the systematics of dragonflies of southern Africa (Odonata),Journal Article,,26,1963
Assessment,,,"Pinhey, E.",,,,42845,,,,,147-188,,,,Journal of the Entomological Society of southern Africa,,,,A survey to the dragonflies (Odonata) of South Africa. Part 1,Journal Article,,47,1984
Assessment,,"","Tarboton, W. and Tarboton, M.","","",,42845,"","","","","",Nylstroom,Privately published by the authors,"","","","",Published,A fieldguide to the damselflies of South Africa,book,"","",2005
Assessment,,,"Pinhey, E.",,,,42845,,,,,1-48,,,,Journal of the Entomological Society of southern Africa,,,,A survey of the dragonflies (Odonata) of South Africa. Part 2. Anisoptera,Journal Article,,48,1985
Assessment,,,"Samways, M.J.",,,,42845,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,"","Samways, M.J.","","",,42845,"","","","",43-52,"","","",African Entomology,"","",Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,"",10,2002
Assessment,,"","Samways, M.J.","","",,4730,"","","","",341-368,"","","",Odonatologica,"","",Published,National Red List of South African Odonata,journal article,"",35,2006
Assessment,,,"Samways, M.J.",,,,4730,0960-3115 (Print) 1572-9710 (Online),,9,,2575-2586,,,,Biodiversity and Conservation,,,,Honing Red List assessments of lesser known taxa in biodiversity hotspots,Journal Article,10.1007/s10531-006-9023-z,16,2006
Assessment,,,"Samways, M.J.",,,,4730,,,,,255-262,,,,International Journal of Odonatology,,,,Critical species of Odonata in southern Africa,Journal Article,,7,2004
Assessment,,"","Tarboton, W. and Tarboton, M.","","",,4730,"","","","","",Nylstroom,Privately published by the authors,"","","","",Published,A fieldguide to the damselflies of South Africa,book,"","",2005
Assessment,,,"Samways, M.J.",,,,4730,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,"","Samways, M.J.","","",,4730,"","","","",43-52,"","","",African Entomology,"","",Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,"",10,2002
Assessment,,"","Samways, M.J.","","",,4731,"","","","",341-368,"","","",Odonatologica,"","",Published,National Red List of South African Odonata,journal article,"",35,2006
Assessment,,,"Samways, M.J.",,,,4731,0960-3115 (Print) 1572-9710 (Online),,9,,2575-2586,,,,Biodiversity and Conservation,,,,Honing Red List assessments of lesser known taxa in biodiversity hotspots,Journal Article,10.1007/s10531-006-9023-z,16,2006
Assessment,,,"Samways, M.J.",,,,4731,,,,,255-262,,,,International Journal of Odonatology,,,,Critical species of Odonata in southern Africa,Journal Article,,7,2004
Assessment,,,"Samways, M.J. and Taylor, S.",,,,4731,,,,,78-80,,,,South African Journal of Science,,,,Impacts of invasive alien plants on red-listed South African dragonflies (Odonata),Journal Article,,100,2004
Assessment,,,"Wilmot, B.C.",,,,4731,,,,,13-17,,,,Journal of the Entomological Society of south Africa,,,,A new species of <i>Chlorolestes</i> from the Eastern Cape Province,Journal Article,,38,1975
Assessment,,"","Tarboton, W. and Tarboton, M.","","",,4731,"","","","","",Nylstroom,Privately published by the authors,"","","","",Published,A fieldguide to the damselflies of South Africa,book,"","",2005
Assessment,,,"Samways, M.J.",,,,4731,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,"","Samways, M.J.","","",,4731,"","","","",43-52,"","","",African Entomology,"","",Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,"",10,2002
Assessment,,,"Pinhey, E.",,,,59781,,"Odonata, dragonflies, Zimbabwe, Zambia",,,1-64,,,,Smithersia,,,,A check-list of the Odonata of Zimbabwe and Zambia.,Journal Article,,3,1984a
Assessment,,,IUCN,04 May 2006,,,59781,,"Species, Red List",05 June,,Searchable online database,"Gland, Switzerland and Cambridge, UK",IUCN - The World Conservation Union,,,,2006 IUCN Red List,,2006 IUCN Red List of Threatened Species,Electronic Source,www.iucnredlist.org,2006,2006
Assessment,,,"Pinhey, E.",,,,59781,,"Odonata, dragonflies, Botswana",,,524-601,,,,"Occasional papers of the national Museums and Monuments of Rhodesia, Series B",,,,"Dragonflies (Odonata) of Botswana, with ecological notes.",Journal Article,,5,1976
Assessment,,,"Pinhey, E.",,,,59793,,"Odonata, dragonflies, Zimbabwe, Zambia",,,1-64,,,,Smithersia,,,,A check-list of the Odonata of Zimbabwe and Zambia.,Journal Article,,3,1984a
Assessment,,,"Pinhey, E.",,,,59793,,"Odonata, dragonflies, South Africa",,,147-188,,,,Journal of the Entomological Society of south Africa,,,,A survey to the dragonflies (Odonata) of south Africa. Part 1.,Journal Article,,47,1984b
Assessment,,,"Pinhey, E.",,,,59793,,"Odonata, dragonflies, Angola",,,1-16,,,,Arnoldia,,,,A collection of Odonata from Angola.,Journal Article,,23,1975
Assessment,,,"Kipping, J.",,,,59793,,"Odonata, dragonflies, Botswana, checklist",,,In press,,,,Cimbebasia Memoirs,,,,The Odonata of Botswana - an annotated checklist.,Journal Article,,5,2006
Assessment,,,"Martens, A., Jödicke, R. and Suhling, F.",,,,59793,,"Odonata, dragonflies, Namibia",,,139-160.,,,,Cimbebasia,,,,Annotated checklist of the Odonata of Namibia.,Journal Article,,18,2003
Assessment,,,"Pinhey, E.",,,,59793,,"Odonata, dragonflies, Africa",,,1-17,,,,Arnoldia,,,,Odonata of Ngamiland.,Journal Article,,15,1967a
Assessment,,,"Longfield, C.",,,,59793,,"Odonata, dragonflies, Angola",,,1-31,,,,"Arquivos do Museu Bocage, Lisboa",,,,The Odonata of South Angola.,Journal Article,,16,1947
Assessment,,,"Ris, F.",,,,59793,,"Odonata, dragonflies, Angola",,,97-112,,,,Revue Suisse de Zoologie,,,,Odonata aus Süd-Angola.,Journal Article,,38,1931
Assessment,,,"Pinhey, E.",,,,59793,,"Odonata, dragonflies, Mozambique",,,557-631,,,,"Occasional papers of the national Museums and Monuments of Rhodesia, Series B",,,,Checklist of the Odonata of Mocambique.,Journal Article,,6,1981
Assessment,,,"Suhling, F., Sahlén, G., Martens, A., Marais, E. and Schütte, C.",,,,59793,,"Odonata, dragonflies, Namibia",,,311-332,,,,Biodiversity and Conservation,,,,Dragonfly assemblages in arid tropical environments: a case study from western Namibia.,Journal Article,,15,2006b
Assessment,,,IUCN,04 May 2006,,,59793,,"Species, Red List",05 June,,Searchable online database,"Gland, Switzerland and Cambridge, UK",IUCN - The World Conservation Union,,,,2006 IUCN Red List,,2006 IUCN Red List of Threatened Species,Electronic Source,www.iucnredlist.org,2006,2006
Assessment,,,"Pinhey, E.",,,,59793,,"Odonata, dragonflies, Angola, Gomphidae",,,81-86,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,Some dragonflies (Odonata) from Angola; and descriptions of three new species of the family Gomphidae.,Journal Article,,56,1961b
Assessment,,,"Pinhey, E.",,,,59793,,"Odonata, dragonflies, Angola, Congo",,,97-129,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,Dragonflies (Odonata) of the Angola-Congo borders of Rhodesia.,Journal Article,,63,1964
Assessment,,,"Pinhey, E.",,,,59793,,"Odonata, dragonflies, Angola",,,159-164,,,,"Revista de Biologia, Lisboa",,,,"Odonata from Luanda and the Lucala River, Angola.",Journal Article,,5,1965
