GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsLookup,GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsName,GeneralHabitats.GeneralHabitatsSubfield.majorImportance,GeneralHabitats.GeneralHabitatsSubfield.season,GeneralHabitats.GeneralHabitatsSubfield.suitability,internal_taxon_id
5.1,,,,Marginal,59835
1.6,,,,Suitable,59835
5.9,,,,Marginal,59835
2.2,,,,Suitable,59835
3.5,,,,Suitable,59845
3.6,,,,Suitable,59845
5.1,,,,Suitable,59845
1.5,,,,Suitable,59845
1.6,,,,Suitable,59845
5.8,,,,Marginal,59856
5.7,,,,Suitable,59856
3.5,,,,Suitable,59856
5.6,,,,Marginal,59856
5.5,,,,Suitable,59856
3.6,,,,Suitable,59856
5.2,,,,Suitable,59856
5.1,,,,Suitable,59856
1.6,,,,Suitable,59856
2.1,,,,Suitable,59856
2.2,,,,Suitable,59856
5.8,,,,Suitable,59858
5.7,,,,Suitable,59858
3.5,,,,Suitable,59858
5.3,,,,Marginal,59858
3.6,,,,Suitable,59858
5.2,,,,Suitable,59858
5.1,,,,Suitable,59858
1.6,,,,Suitable,59858
5.8,,,,Suitable,59859
5.7,,,,Suitable,59859
5.6,,,,Suitable,59859
3.5,,,,Suitable,59859
5.5,,,,Marginal,59859
5.3,,,,Suitable,59859
5.4,,,,Suitable,59859
3.6,,,,Suitable,59859
5.2,,,,Suitable,59859
5.1,,,,Marginal,59859
2.1,,,,Suitable,59859
2.2,,,,Suitable,59859
3.5,,,,Suitable,59860
3.6,,,,Suitable,59860
5.1,,,,Suitable,59860
2.2,,,,Suitable,59864
2.1,,,,Suitable,59864
5.1,,,,Marginal,59864
5.2,,,,Marginal,59864
3.6,,,,Suitable,59864
5.4,,,,Suitable,59864
5.5,,,,Suitable,59864
3.5,,,,Suitable,59864
5.6,,,,Suitable,59864
5.7,,,,Suitable,59864
5.8,,,,Suitable,59864
1.6,,,,Suitable,59864
5.3,,,,Suitable,59864
5.3,,,,Suitable,59876
3.6,,,,Suitable,59876
5.3,,,,Suitable,59879
1.6,,,,Suitable,59879
5.3,,,,Suitable,59881
1.8,,,,Suitable,59881
5.1,,,,Suitable,59881
1.6,,,,Suitable,59881
5.8,,,,Suitable,59964
5.7,,,,Suitable,59964
5.6,,,,Suitable,59964
3.5,,,,Suitable,59964
5.3,,,,Suitable,59964
5.4,,,,Suitable,59964
3.6,,,,Suitable,59964
5.2,,,,Suitable,59964
1.6,,,,Suitable,59964
5.8,,,,Suitable,59900
5.7,,,,Suitable,59900
3.5,,,,Suitable,59900
3.6,,,,Suitable,59900
5.2,,,,Suitable,59900
5.1,,,,Suitable,59900
1.6,,,,Suitable,59900
2.1,,,,Suitable,59900
2.2,,,,Suitable,59900
5.8,,,,Suitable,59965
5.7,,,,Suitable,59965
5.6,,,,Suitable,59965
5.5,,,,Suitable,59965
5.3,,,,Marginal,59965
5.4,,,,Suitable,59965
5.1,,,,Marginal,59965
5.8,,,,Suitable,59902
5.7,,,,Marginal,59902
5.6,,,,Suitable,59902
3.5,,,,Suitable,59902
5.3,,,,Suitable,59902
3.6,,,,Suitable,59902
5.2,,,,Suitable,59902
5.9,,,,Marginal,59902
2.1,,,,Suitable,59902
2.2,,,,Suitable,59902
5.8,,,,Suitable,59967
5.6,,,,Suitable,59967
3.5,,,,Suitable,59967
5.4,,,,Suitable,59967
3.6,,,,Suitable,59967
1.6,,,,Suitable,59967
2.1,,,,Suitable,59967
2.2,,,,Suitable,59967
4.6,,,,Suitable,59967
5.8,,,,Suitable,59968
5.4,,,,Suitable,59968
5.2,,,,Suitable,59968
2.2,,,,Suitable,59904
2.1,,,,Suitable,59904
5.1,,,,Suitable,59904
5.2,,,,Suitable,59904
3.6,,,,Suitable,59904
5.4,,,,Suitable,59904
3.5,,,,Suitable,59904
5.6,,,,Marginal,59904
5.7,,,,Marginal,59904
5.8,,,,Marginal,59904
5.9,,,,Marginal,59904
1.6,,,,Suitable,59904
5.3,,,,Suitable,59904
5.8,,,,Suitable,59905
5.7,,,,Marginal,59905
5.6,,,,Suitable,59905
3.5,,,,Suitable,59905
5.5,,,,Marginal,59905
5.3,,,,Suitable,59905
5.4,,,,Suitable,59905
3.6,,,,Suitable,59905
1.6,,,,Suitable,59905
2.1,,,,Suitable,59905
2.2,,,,Suitable,59905
5.8,,,,Suitable,59906
5.7,,,,Suitable,59906
3.5,,,,Suitable,59906
5.6,,,,Suitable,59906
5.3,,,,Suitable,59906
5.5,,,,Marginal,59906
5.4,,,,Suitable,59906
3.6,,,,Suitable,59906
1.6,,,,Suitable,59906
2.1,,,,Suitable,59906
2.2,,,,Suitable,59906
3.5,,,,Suitable,59981
3.6,,,,Suitable,59981
5.1,,,,Suitable,59981
1.6,,,,Suitable,59981
5.8,,,,Suitable,59907
5.7,,,,Marginal,59907
3.5,,,,Marginal,59907
5.3,,,,Suitable,59907
5.4,,,,Suitable,59907
3.6,,,,Marginal,59907
5.2,,,,Marginal,59907
1.5,,,,Suitable,59907
1.6,,,,Suitable,59907
3.5,,,,Suitable,59908
3.6,,,,Suitable,59908
5.1,,,,Suitable,59908
1.6,,,,Suitable,59908
3.5,,,,Suitable,59983
3.6,,,,Suitable,59983
5.2,,,,Suitable,59983
5.1,,,,Suitable,59983
1.6,,,,Suitable,59983
5.1,,,,Suitable,59986
5.5,,,,Suitable,59912
5.1,,,,Suitable,59912
3.5,,,,Suitable,59995
3.6,,,,Suitable,59995
3.7,,,,Marginal,59995
5.1,,,,Suitable,59995
1.6,,,,Suitable,59995
1.9,,,,Suitable,59995
5.8,,,,Marginal,59921
5.7,,,,Marginal,59921
5.6,,,,Marginal,59921
3.5,,,,Suitable,59921
5.5,,,,Marginal,59921
5.4,,,,Suitable,59921
3.6,,,,Suitable,59921
5.2,,,,Marginal,59921
5.1,,,,Suitable,59921
1.6,,,,Suitable,59921
2.1,,,,Marginal,59921
2.2,,,,Suitable,59921
3.5,,,,Suitable,59997
3.6,,,,Suitable,59997
5.2,,,,Suitable,59997
5.1,,,,Suitable,59997
1.6,,,,Suitable,59997
2.1,,,,Suitable,59997
2.2,,,,Suitable,59997
5.1,,,,Suitable,59926
1.5,,,,Suitable,59926
1.6,,,,Suitable,59926
3.5,,,,Suitable,59937
3.6,,,,Suitable,59937
5.1,,,,Suitable,59937
1.6,,,,Suitable,59937
2.1,,,,Suitable,59937
2.2,,,,Suitable,59937
3.5,,,,Suitable,59941
3.6,,,,Suitable,59941
5.1,,,,Suitable,59941
1.6,,,,Suitable,59941
3.5,,,,Suitable,59942
5.5,,,,Marginal,59942
3.6,,,,Suitable,59942
5.1,,,,Suitable,59942
1.6,,,,Suitable,59942
2.1,,,,Marginal,59942
2.2,,,,Marginal,59942
5.8,,,,Suitable,59948
3.5,,,,Suitable,59948
5.3,,,,Suitable,59948
5.4,,,,Suitable,59948
3.6,,,,Suitable,59948
5.2,,,,Suitable,59948
5.1,,,,Marginal,59948
1.6,,,,Suitable,59948
5.9,,,,Marginal,59948
2.1,,,,Marginal,59948
2.2,,,,Suitable,59948
5.8,,,,Suitable,59951
5.7,,,,Suitable,59951
3.5,,,,Suitable,59951
5.6,,,,Marginal,59951
5.3,,,,Suitable,59951
5.4,,,,Suitable,59951
3.6,,,,Suitable,59951
1.6,,,,Suitable,59951
2.1,,,,Suitable,59951
2.2,,,,Suitable,59951
5.11,,,,Suitable,59952
5.3,,,,Suitable,59952
3.7,,,,Suitable,59952
5.1,,,,Suitable,59952
1.6,,,,Suitable,59952
5.9,,,,Suitable,59952
1.9,,,,Suitable,59952
5.3,,,,Suitable,59954
2.2,,,,Suitable,59954
2.1,,,,Suitable,59954
5.1,,,,Suitable,59954
5.2,,,,Suitable,59954
3.6,,,,Suitable,59954
5.4,,,,Suitable,59954
5.5,,,,Marginal,59954
3.5,,,,Suitable,59954
5.6,,,,Suitable,59954
5.7,,,,Suitable,59954
5.8,,,,Suitable,59954
5.9,,,,Suitable,59954
1.6,,,,Suitable,59954
3.5,,,,Suitable,59955
3.6,,,,Suitable,59955
5.1,,,,Suitable,59955
2.1,,,,Suitable,59955
2.2,,,,Suitable,59955
5.8,,,,Suitable,59956
5.7,,,,Suitable,59956
3.5,,,,Suitable,59956
5.4,,,,Suitable,59956
3.6,,,,Suitable,59956
5.1,,,,Suitable,59956
1.6,,,,Suitable,59956
5.9,,,,Suitable,59956
3.5,,,,Suitable,59957
1.8,,,,Suitable,59957
5.4,,,,Suitable,59957
3.6,,,,Suitable,59957
5.1,,,,Suitable,59957
1.6,,,,Suitable,59957
5.1,,,,Suitable,59958
1.6,,,,Suitable,59958
5.9,,,,Suitable,59958
5.8,,,,Suitable,59959
5.7,,,,Suitable,59959
3.5,,,,Suitable,59959
5.3,,,,Suitable,59959
5.4,,,,Suitable,59959
3.6,,,,Suitable,59959
5.1,,,,Suitable,59959
1.6,,,,Suitable,59959
1.8,,,,Suitable,59962
5.4,,,,Suitable,59962
5.8,,,,Suitable,59969
5.7,,,,Suitable,59969
5.6,,,,Suitable,59969
3.5,,,,Suitable,59969
5.5,,,,Marginal,59969
5.3,,,,Suitable,59969
5.4,,,,Suitable,59969
5.2,,,,Suitable,59969
5.1,,,,Suitable,59969
5.9,,,,Suitable,59969
2.2,,,,Suitable,59970
2.1,,,,Suitable,59970
5.1,,,,Suitable,59970
5.2,,,,Suitable,59970
3.6,,,,Suitable,59970
5.4,,,,Suitable,59970
5.5,,,,Marginal,59970
3.5,,,,Suitable,59970
5.6,,,,Suitable,59970
5.7,,,,Suitable,59970
5.8,,,,Suitable,59970
5.9,,,,Suitable,59970
5.3,,,,Marginal,59970
5.8,,,,Suitable,59971
5.7,,,,Marginal,59971
5.6,,,,Suitable,59971
5.3,,,,Marginal,59971
5.4,,,,Suitable,59971
5.2,,,,Suitable,59971
5.1,,,,Marginal,59971
5.9,,,,Marginal,59971
3.5,,,,Suitable,59974
3.6,,,,Suitable,59974
5.1,,,,Suitable,59974
1.6,,,,Suitable,59974
5.8,,,,Marginal,59975
5.7,,,,Marginal,59975
5.6,,,,Marginal,59975
3.5,,,,Suitable,59975
5.5,,,,Marginal,59975
3.6,,,,Suitable,59975
5.1,,,,Suitable,59975
1.6,,,,Suitable,59975
2.1,,,,Suitable,59975
2.2,,,,Suitable,59975
5.7,,,,Marginal,59976
3.5,,,,Suitable,59976
5.5,,,,Marginal,59976
3.6,,,,Suitable,59976
5.2,,,,Suitable,59976
5.1,,,,Suitable,59976
1.6,,,,Suitable,59976
2.1,,,,Suitable,59976
2.2,,,,Suitable,59976
5.1,,,,Suitable,59978
1.6,,,,Suitable,59978
3.5,,,,Suitable,60060
5.4,,,,Marginal,60060
3.6,,,,Suitable,60060
5.1,,,,Suitable,60060
1.6,,,,Suitable,60060
2.1,,,,Suitable,60060
2.2,,,,Suitable,60060
3.5,,,,Suitable,60062
3.6,,,,Suitable,60062
5.1,,,,Suitable,60062
1.6,,,,Suitable,60062
2.1,,,,Suitable,60062
2.2,,,,Suitable,60062
5.18,,,,Marginal,60062
3.5,,,,Suitable,60005
3.6,,,,Suitable,60005
5.1,,,,Suitable,60005
1.6,,,,Suitable,60005
2.1,,,,Marginal,60005
2.2,,,,Marginal,60005
5.1,,,,Suitable,60076
5.1,,,,Suitable,60078
5.3,,,,Suitable,60079
1.6,,,,Suitable,60079
5.1,,,,Suitable,60010
5.7,,,,Suitable,60011
5.4,,,,Suitable,60011
2.1,,,,Suitable,60011
2.2,,,,Suitable,60011
5.7,,,,Suitable,60013
5.5,,,,Suitable,60013
5.4,,,,Suitable,60013
5.1,,,,Marginal,60013
5.1,,,,Suitable,60014
5.1,,,,Suitable,60015
5.1,,,,Suitable,60018
1.6,,,,Suitable,60018
5.1,,,,Suitable,60019
5.1,,,,Suitable,60022
5.7,,,,Suitable,60025
3,,,,Suitable,60025
5.6,,,,Suitable,60025
5.1,,,,Suitable,60025
5.9,,,,Suitable,60025
2.1,,,,Suitable,60025
2.2,,,,Suitable,60025
1,,,,Marginal,60030
5.2,,,,Suitable,60030
5.1,,,,Suitable,60030
5.9,,,,Suitable,60030
5.7,,,,Marginal,60031
5.1,,,,Suitable,60031
3.7,,,,Suitable,60032
5.1,,,,Suitable,60032
1.9,,,,Suitable,60032
3.5,,,,Suitable,60033
3.6,,,,Suitable,60033
5.1,,,,Suitable,60033
1.6,,,,Suitable,60033
2.1,,,,Suitable,60033
2.2,,,,Suitable,60033
5.1,,,,Suitable,60034
5.8,,,,Suitable,60037
5.7,,,,Marginal,60037
5.6,,,,Suitable,60037
5.5,,,,Marginal,60037
5.3,,,,Suitable,60037
5.4,,,,Suitable,60037
5.2,,,,Suitable,60037
5.1,,,,Marginal,60037
4.6,,,,Suitable,60037
2.2,,,,Suitable,60038
2.1,,,,Suitable,60038
5.1,,,,Marginal,60038
5.2,,,,Suitable,60038
3.6,,,,Suitable,60038
5.13,,,,Suitable,60038
5.4,,,,Suitable,60038
3.5,,,,Suitable,60038
5.7,,,,Suitable,60038
5.8,,,,Suitable,60038
5.9,,,,Marginal,60038
1.6,,,,Suitable,60038
5.3,,,,Suitable,60038
5.8,,,,Suitable,60044
5.7,,,,Marginal,60044
3.5,,,,Suitable,60044
5.6,,,,Suitable,60044
5.3,,,,Suitable,60044
5.5,,,,Marginal,60044
5.4,,,,Marginal,60044
3.6,,,,Suitable,60044
5.2,,,,Suitable,60044
5.1,,,,Suitable,60044
1.6,,,,Suitable,60044
5.8,,,,Suitable,60048
5.7,,,,Suitable,60048
5.6,,,,Suitable,60048
5.4,,,,Suitable,60048
5.13,,,,Suitable,60048
5.2,,,,Suitable,60048
5.1,,,,Suitable,60048
1.6,,,,Suitable,60048
2.2,,,,Suitable,60048
4.6,,,,Suitable,60048
5.8,,,,Suitable,60049
5.7,,,,Suitable,60049
5.6,,,,Suitable,60049
3.5,,,,Suitable,60049
5.3,,,,Suitable,60049
5.5,,,,Suitable,60049
5.4,,,,Suitable,60049
3.6,,,,Suitable,60049
1.6,,,,Suitable,60049
5.8,,,,Suitable,60050
5.7,,,,Marginal,60050
5.6,,,,Suitable,60050
3.5,,,,Suitable,60050
5.5,,,,Marginal,60050
5.3,,,,Suitable,60050
5.4,,,,Suitable,60050
3.6,,,,Suitable,60050
5.1,,,,Suitable,60051
1.6,,,,Suitable,60051
5.8,,,,Marginal,60052
5.7,,,,Marginal,60052
5.6,,,,Marginal,60052
5.5,,,,Marginal,60052
5.3,,,,Marginal,60052
5.4,,,,Suitable,60052
5.2,,,,Suitable,60052
5.1,,,,Suitable,60052
5.9,,,,Suitable,60052
5.8,,,,Marginal,60053
5.7,,,,Marginal,60053
5.6,,,,Marginal,60053
5.5,,,,Marginal,60053
5.2,,,,Suitable,60053
5.1,,,,Suitable,60053
5.9,,,,Suitable,60053
3.5,,,,Marginal,60056
3.6,,,,Suitable,60056
5.1,,,,Suitable,60056
1.6,,,,Suitable,60056
3.5,,,,Suitable,60057
2,,,,Suitable,60057
3.6,,,,Suitable,60057
5.1,,,,Suitable,60057
5.8,,,,Marginal,60058
5.7,,,,Marginal,60058
3,,,,Suitable,60058
2,,,,Suitable,60058
5.1,,,,Suitable,60058
5.1,,,,Suitable,60065
1.6,,,,Suitable,60065
3.5,,,,Marginal,60068
3.6,,,,Marginal,60068
5.2,,,,Suitable,60068
5.1,,,,Suitable,60068
1.6,,,,Suitable,60068
5.9,,,,Suitable,60068
3.5,,,,Suitable,60069
3.6,,,,Suitable,60069
5.1,,,,Suitable,60069
5.8,,,,Suitable,60072
5.7,,,,Suitable,60072
5.6,,,,Suitable,60072
5.5,,,,Marginal,60072
5.3,,,,Marginal,60072
5.1,,,,Suitable,60072
5.8,,,,Marginal,60073
5.7,,,,Suitable,60073
5.6,,,,Marginal,60073
5.5,,,,Suitable,60073
5.1,,,,Suitable,60073
5.1,,,,Suitable,63171
5.1,,,,Suitable,63175
5.1,,,,Suitable,63176
5.7,,,,Suitable,63178
5.4,,,,Suitable,63178
5.1,,,,Suitable,63179
5.7,,,,Suitable,63180
5.1,,,,Suitable,63180
5.7,,,,Suitable,63182
5.4,,,,Suitable,63182
5.1,,,,Suitable,63184
5.7,,,,Suitable,63185
5.1,,,,Suitable,63185
5.1,,,,Suitable,63191
1.9,,,,Suitable,63191
5.1,,,,Suitable,63193
1.5,,,,Suitable,63193
5.1,,,,Suitable,63194
1.9,,,,Suitable,63194
5.7,,,,Suitable,63195
5.1,,,,Suitable,63195
5.9,,,,Suitable,63195
5.1,,,,Suitable,63201
1.5,,,,Suitable,63201
1.6,,,,Suitable,63201
5.1,,,,Suitable,63202
5.1,,,,Suitable,63203
5.7,,,,Suitable,63204
5.4,,,,Suitable,63204
1.8,,,,Suitable,63204
5.1,,,,Suitable,63208
5.1,,Yes,,Suitable,63214
2.2,,,,Unknown,63214
5.1,,,,Suitable,63216
5.7,,,,Suitable,63218
5.5,,,,Suitable,63218
5.1,,,,Suitable,63219
5.1,,,,Suitable,6973
1.9,,,,Suitable,6973
5.1,,,,Suitable,6975
