Reference_type,access_date,alternate_title,author,date,edition,externalBibCode,internal_taxon_id,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,,"Poynton, J.C.",,,,54636,,,,,319-332,,,,Annals of the Natal Museum,,,Published,Descriptions of southern African amphibians,journal article,,15,1963
Assessment,,"","Channing, A. and Griffin, M.","","",,54636,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,54636,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Wager, V.A.",,,,54636,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,"","Bates, M.F.","","",,54636,"","","","",3-14,"","","",Madoqua,"","",Published,"Distribution and diversity of amphibians in the Free State, South Africa",journal article,"",19,1995
Assessment,,"","Pickersgill, M.","","",,54636,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Branch, W.R. and Braack, H.",,,,54648,,,19,,15-23,,,,Madoqua,,,,A new toad from Paradise,Journal Article,,,1995
Assessment,,,"Bates, M.F. and Haacke, W.D.",,,,54648,,,,,101-158,,,,"Navorsinge van die Nasionale Museum, Bloemfontein",,,Published,The frogs of Lesotho: diversity and distribution,journal article,,19,2003
Assessment,,,"Channing, A.",,,,54648,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Tandy, M. and Keith, R.",,,,54648,,,,,119-170,"Austin, Texas",University of Texas Press,"Blair, W.F.",Evolution in the genus <i>Bufo</i>,,,,African <i>Bufo</i>,Book Section,,,1972
Assessment,,,"Poynton, J.C. and Broadley, D.G.",,,,54648,,,29,,447-490,,,,Annals of the Natal Museum,,,,Amphibia Zambesiaca. 4. Bufonidae,Journal Article,,,1988
Assessment,,"","Channing, A. and Griffin, M.","","",,54648,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,54648,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Visser, J.",,,,54648,,,21,,21-28,,,,Journal of Herpetological Association of Africa,,,,Calling and spawning dates of the south-western Cape frogs,Journal Article,,,1979
Assessment,,,"Bates, M.F.",,,,54648,,,46,,13-29,,,,African Journal of Herpetology,,,,Herpetofauna of the nature reserves and national parks of the Free State province of South Africa,Journal Article,,,1997
Assessment,,"","Lanza, B.","","",,54649,"","","","",151-186,"","","",Monitore Zoologico Italiano N.S. Supplemento,"","",Published,A Checklist of the Somali amphibians,journal article,"",10,1981
Assessment,,,"Taylor, P.",,,,54649,,,11,,12-13,,,,Journal of Herpetological Association of Africa,,,,A note on colour changes in tadpoles of Bufo garmani Meek,Journal Article,,,1973
Assessment,,,"Channing, A. and Howell, K.M.",,,,54649,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Amphibians of East Africa,Book,,,2006
Assessment,,,"Channing, A.",,,,54649,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,"","Lambiris, A.J.L.","","",,54649,"","","","",1-247,"","","","Mus. Reg. Sci. Nat. Torino, Monografia","","",Published,The frogs of Zimbabwe,journal article,"",10,1989
Assessment,,,"Tandy, M. and Keith, R.",,,,54649,,,,,119-170,"Austin, Texas",University of Texas Press,"Blair, W.F.",Evolution in the genus <i>Bufo</i>,,,,African <i>Bufo</i>,Book Section,,,1972
Assessment,,,"Poynton, J.C. and Broadley, D.G.",,,,54649,,,29,,447-490,,,,Annals of the Natal Museum,,,,Amphibia Zambesiaca. 4. Bufonidae,Journal Article,,,1988
Assessment,,"","Broadley, D.G.","","",,54649,"","","","",1-143,"","","",Puku,"","",Published,The reptiles and amphibians of Zambia,journal article,"",6,1971
Assessment,,,"Poynton, J.C.",,,,54649,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Channing, A.",,,,54649,,,26,,81-84,,,,S. Afr. J. Zool.,,,,The distribution of Bufo poweri in southern Africa,Journal Article,,,1991
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,54649,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Channing, A.",,,,54649,,,35,,19-24,,,,Journal of Herpetological Association of Africa,,,,Opportunistic seasonal breeding by frogs in Namaqualand,Journal Article,,,1988
Assessment,,,"Largen, M.J., Tandy, M. and Tandy, J.",,,,54649,,,10,,1-41,,,,Monitore Zoologico Italiano N.S. Supplemento,,,,"A new species of toad from the rift valley of Ethiopia, with observations on other species of <i>Buf</i>o (Anura Amphibia Bufonidae) from this country",Journal Article,,,1978
Assessment,,,"Taylor, P.",,,,54649,,,16,,60-62,,,,Zimb. Sci. News,,,,Notes on the ecology and life history of the light-nosed toad Bufo garmani Meek in the lowveld,Journal Article,,,1982
Assessment,,,"Hulselmans, J.L.J.",,,,54649,,,9,,137-145,,,,Monitore Zoologico Italiano N.S. Supplemento,,,,Notes on a collection of toads from Ethiopia and Somalia,Journal Article,,,1977
Assessment,,,"Pienaar, U.V., Passmore, N.I. and Carruthers, V.C.",,,,54649,,,,,,Pretoria,National Parks Board of South Africa,,,,,,The Frogs of the Kruger National Park,Book,,,1976
Assessment,,"","Poynton, J.C.","","",,54649,"","","","",193-225,"","","",Senckenbergiana Biologica,"","",Published,Amphibia of the Nyasa-Luangwa region of Africa,journal article,"",45,1964
Assessment,,"","Largen, M.J.","","",,54649,"","","","",307-402,"","","",Tropical Zoology,"","",Published,"Catalogue of the amphibians of Ethiopia, including a key for their identification",journal article,"",14,2001
Assessment,,"","Lanza, B.","","",,54649,"","","","",407-465,"","","",Biogeographica,"","",Published,Amphibians and reptiles of the Somali Democratic Republic: checklist and biogeography,journal article,"",14,1990
Assessment,,"","Lötters, S., Rotich, D., Koester, T.E., Kosuch, J., Muchai, V., Scheelke, K., Schick, S., Teege, P., Wasonga, V.D. and Veith, M.","","",,54649,"","",2/3,"",165-179,"","","",Salamandra,"","",Published,What do we know about the amphibians from the Kenyan central and western highlands? A faunistic and taxonomic review,journal article,"",42,2006
Assessment,,"","Pickersgill, M.","","",,54649,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,"","Lanza, B.","","",,54659,"","","","",151-186,"","","",Monitore Zoologico Italiano N.S. Supplemento,"","",Published,A Checklist of the Somali amphibians,journal article,"",10,1981
Assessment,,"","Poynton, J.C. and Haacke, W.D.","","",,54659,"","","","",9-16,"","","",Annals of the Transvaal Museum,"","",Published,"On a collection of amphibians from Angola, including a new species of <i>Bufo</i> Laurenti",journal article,"",36,1993
Assessment,,,"Channing, A. and Howell, K.M.",,,,54659,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Amphibians of East Africa,Book,,,2006
Assessment,,,"Harper, E. and Vonesh, J.R.",,,,54659,,,,,,,http://www.zoo.ufl.edu/voneshjr/Harper%20&%20Vonesh%20-%20Amphibian%20Guide.pdf,,,,,,Field Guide to the Amphibians of the East Usambara Mountains. Preliminary Draft,Book,,,2003
Assessment,,,"Channing, A.",,,,54659,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Stewart, M.M.",,,,54659,,,,,,Albany,State University of New York Press,,,,,,Amphibians of Malawi,Book,,,1967
Assessment,,"","Lambiris, A.J.L.","","",,54659,"","","","",1-247,"","","","Mus. Reg. Sci. Nat. Torino, Monografia","","",Published,The frogs of Zimbabwe,journal article,"",10,1989
Assessment,,,"Tandy, M. and Keith, R.",,,,54659,,,,,119-170,"Austin, Texas",University of Texas Press,"Blair, W.F.",Evolution in the genus <i>Bufo</i>,,,,African <i>Bufo</i>,Book Section,,,1972
Assessment,,,"Poynton, J.C. and Broadley, D.G.",,,,54659,,,29,,447-490,,,,Annals of the Natal Museum,,,,Amphibia Zambesiaca. 4. Bufonidae,Journal Article,,,1988
Assessment,,"","Broadley, D.G.","","",,54659,"","","","",1-143,"","","",Puku,"","",Published,The reptiles and amphibians of Zambia,journal article,"",6,1971
Assessment,,,"Poynton, J.C.",,,,54659,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,"","Channing, A. and Griffin, M.","","",,54659,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,54659,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,"","Poynton, J.C.","","",,54659,"","","","",13-34,"","","",Memoirs de Instituto de Investigação Científica de Moçambique Ser. A. Ciencas B,"","",Published,Amphibia of northern Mozambique,journal article,"",8,1966
Assessment,,"","Channing, A., Sinclair, A.R.E., Mduma, S.A.R., Moyer, D. and Kreulen, D.A.","","",,54659,"","",2,"",163-181,"","","",African Journal of Herpetology,"","",Published,Serengeti amphibians: Distribution and Monitoring baseline,journal article,"",53,2004
Assessment,,,"Passmore, N.I.",,,,54659,,,167,,143-151,,,,Journal of Zoology,,,,Intergrading between members of the 'regularis group' of toads in South Africa,Journal Article,,,1972
Assessment,,"","Poynton, J.C.","","",,54659,"","","","",193-225,"","","",Senckenbergiana Biologica,"","",Published,Amphibia of the Nyasa-Luangwa region of Africa,journal article,"",45,1964
Assessment,,"","Lötters, S., Rotich, D., Koester, T.E., Kosuch, J., Muchai, V., Scheelke, K., Schick, S., Teege, P., Wasonga, V.D. and Veith, M.","","",,54659,"","",2/3,"",165-179,"","","",Salamandra,"","",Published,What do we know about the amphibians from the Kenyan central and western highlands? A faunistic and taxonomic review,journal article,"",42,2006
Assessment,,"","Poynton, J.C.","","",,54659,"","","","",117-126,"","","",Systematics and Biodiversity,"","",Published,Altitudinal species turnover in southern Tanzania shown by anurans: some zoogeographical considerations,journal article,"",1,2003
Assessment,,"","Ruas, C.","","",,54659,"","","","",19-41,"","","",Garcia de Orta. Ser. Zool. (Lisboa),"","",Published,Contribuicao para o conhecimento da fauna de batraquios de Angola,journal article,"",21,1996
Assessment,,"","Stevens, R.A.","","",,54659,"","","","",1-22,"","","",Arnoldia Rhodesia,"","",Published,An annotated checklist of the amphibians and reptiles known to occur in south-eastern Malawi,journal article,"",6,1974
Assessment,,"","Pickersgill, M.","","",,54659,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Channing, A.",,,,54724,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Tandy, M. and Keith, R.",,,,54724,,,,,119-170,"Austin, Texas",University of Texas Press,"Blair, W.F.",Evolution in the genus <i>Bufo</i>,,,,African <i>Bufo</i>,Book Section,,,1972
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,54724,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,54724,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Branch, W.R.",,,,54724,,,37,,17-44,,,,Journal of Herpetological Association of Africa,,,,"The herpetofauna of the Cape Province, South Africa: new distribution records and zoogeography",Journal Article,,,1990
Assessment,,,"Poynton, J.C. and Lambiris, A.J.L.",,,,54724,,,47,,3-12,,,,African Journal of Herpetology,,,,"On <i>Bufo pantherinus</i> A. Smith, 1828 (Anura: Bufonidae), the leopard toad of the southwestern Cape, South Africa, with the designation of a neotype",Journal Article,,,1988
Assessment,,,"Eick, B.N., Harley, E.H. and Cherry, M.I.",,,,54724,,,35,,113-114,,,,Journal of Herpetology,,,,Molecular analyses supports specific status of <i>Bufo pardalis</i> and <i>Bufo pantherinus</i>,Journal Article,,,2001
Assessment,,,"Passmore, N.I.",,,,54724,,,12,,234-236,,,,Zoologica Africana,,,,Bufo pardalis (Anura: Bufonidae): mating call and calling behaviour,Journal Article,,,1977
Assessment,,"","Pickersgill, M.","","",,54724,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Channing, A.",,,,54736,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Tandy, M. and Keith, R.",,,,54736,,,,,119-170,"Austin, Texas",University of Texas Press,"Blair, W.F.",Evolution in the genus <i>Bufo</i>,,,,African <i>Bufo</i>,Book Section,,,1972
Assessment,,,"Poynton, J.C. and Broadley, D.G.",,,,54736,,,29,,447-490,,,,Annals of the Natal Museum,,,,Amphibia Zambesiaca. 4. Bufonidae,Journal Article,,,1988
Assessment,,,"Channing, A.",,,,54736,,,(A)2,,93-96,,,,Cimbebasia,,,,Morphological variation in Bufo garmani from South West Africa,Journal Article,,,1972
Assessment,,,"Channing, A.",,,,54736,,,26,,81-84,,,,S. Afr. J. Zool.,,,,The distribution of Bufo poweri in southern Africa,Journal Article,,,1991
Assessment,,"","Channing, A. and Griffin, M.","","",,54736,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,54736,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,54736,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Cunningham, M. and Cherry, M.I.",,,,54736,,,49,,9-22,,,,African Journal of Herpetology,,,,Mitochondrial DNA divergence in southern African Bufonids: are species equivalent entities?,Journal Article,,,2000
Assessment,,"","Pickersgill, M.","","",,54736,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Bates, M.F. and Haacke, W.D.",,,,54745,,,,,101-158,,,,"Navorsinge van die Nasionale Museum, Bloemfontein",,,Published,The frogs of Lesotho: diversity and distribution,journal article,,19,2003
Assessment,,,"Channing, A.",,,,54745,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Tandy, M. and Keith, R.",,,,54745,,,,,119-170,"Austin, Texas",University of Texas Press,"Blair, W.F.",Evolution in the genus <i>Bufo</i>,,,,African <i>Bufo</i>,Book Section,,,1972
Assessment,,,"Poynton, J.C.",,,,54745,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,54745,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,54745,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,54745,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,,"Visser, J.",,,,54745,,,21,,21-28,,,,Journal of Herpetological Association of Africa,,,,Calling and spawning dates of the south-western Cape frogs,Journal Article,,,1979
Assessment,,,"Cherry, M.I.",,,,54745,,,45,,359-373,,,,Animal Behaviour,,,,"Sexual selection in the raucous toad, Bufo rangeri",Journal Article,,,1993
Assessment,,,"Cunningham, M. and Cherry, M.I.",,,,54745,,,49,,9-22,,,,African Journal of Herpetology,,,,Mitochondrial DNA divergence in southern African Bufonids: are species equivalent entities?,Journal Article,,,2000
Assessment,,"","Pickersgill, M.","","",,54745,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Branch, W.R. and Braack, H.",,,,54748,,,19,,15-23,,,,Madoqua,,,,A new toad from Paradise,Journal Article,,,1995
Assessment,,,"Channing, A.",,,,54748,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,54748,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Cunningham, M. and Cherry, M.I.",,,,54748,,,49,,9-22,,,,African Journal of Herpetology,,,,Mitochondrial DNA divergence in southern African Bufonids: are species equivalent entities?,Journal Article,,,2000
Assessment,,,"Channing, A.",,,,54793,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Tandy, M. and Keith, R.",,,,54793,,,,,119-170,"Austin, Texas",University of Texas Press,"Blair, W.F.",Evolution in the genus <i>Bufo</i>,,,,African <i>Bufo</i>,Book Section,,,1972
Assessment,,,"Poynton, J.C. and Broadley, D.G.",,,,54793,,,29,,447-490,,,,Annals of the Natal Museum,,,,Amphibia Zambesiaca. 4. Bufonidae,Journal Article,,,1988
Assessment,,,"Poynton, J.C.",,,,54793,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,54793,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,54793,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,54793,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,,"Bates, M.F. and Irish, E.",,,,54793,,,35,,17-18,,,,African Herpetology News,,,,Bufo vertebralis: diet,Journal Article,,,2002
Assessment,,,"De Waal, S.W.P.",,,,54793,,,4,,93-120,,,,"Navorsinge van die Nasionale Museum, Bloemfontein",,,,"The salienta (Amphibia) of the Orange Free State, South Africa",Journal Article,,,1980
Assessment,,"","Bates, M.F.","","",,54793,"","","","",3-14,"","","",Madoqua,"","",Published,"Distribution and diversity of amphibians in the Free State, South Africa",journal article,"",19,1995
Assessment,,,"Channing, A.",,,,54801,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Tandy, M. and Keith, R.",,,,54801,,,,,119-170,"Austin, Texas",University of Texas Press,"Blair, W.F.",Evolution in the genus <i>Bufo</i>,,,,African <i>Bufo</i>,Book Section,,,1972
Assessment,,,"Poynton, J.C.",,,,54801,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,54801,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,54801,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Grandison, A.G.C.",,,,54801,,,39,,293-298,,,,Bulletin of the British Museum Natural History (Zoology),,,,A new genus of toad (Anura: Bufonidae) from the Republic of South Africa with remarks on its relationships,Journal Article,,,1980
Assessment,,,"Balinsky, B.I.",,,,54885,,,4,,37-93,,,,Zoologica Africana,,,,The reproductive ecology of amphibians of the Transvaal highveld,Journal Article,,,1969
Assessment,,,"Channing, A. and Howell, K.M.",,,,54885,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Amphibians of East Africa,Book,,,2006
Assessment,,,"Harper, E. and Vonesh, J.R.",,,,54885,,,,,,,http://www.zoo.ufl.edu/voneshjr/Harper%20&%20Vonesh%20-%20Amphibian%20Guide.pdf,,,,,,Field Guide to the Amphibians of the East Usambara Mountains. Preliminary Draft,Book,,,2003
