BiogeographicRealm.realm,ConservationActionsDocumentation.narrative,HabitatDocumentation.narrative,MapStatus.status,PopulationDocumentation.narrative,PopulationTrend.value,RangeDocumentation.narrative,RedListAssessmentDate.value,RedListCriteria.critVersion,RedListCriteria.dataDeficientReason,RedListCriteria.isManual,RedListCriteria.manualCategory,RedListCriteria.manualCriteria,RedListCriteria.possiblyExtinct,RedListCriteria.possiblyExtinctCandidate,RedListCriteria.yearLastSeen,RedListRationale.value,RedListReasonsForChange.catCritChanges,RedListReasonsForChange.changeReasons,RedListReasonsForChange.otherReason,RedListReasonsForChange.timeframe,RedListReasonsForChange.type,System.value,ThreatsDocumentation.value,UseTradeDocumentation.value,internal_taxon_id
Afrotropical,It occurs in several protected areas.,"It is associated with arid rocky areas close to permanent or seasonal water. It breeds in small, spring-fed pools, small shallow seepages, vleis, seasonal streams and rivers, rain-filled depressions, and dams, but not in large perennial rivers.",Done,"It is generally not common, but can be locally abundant. Its breeding populations are scattered, presumably due to distribution of suitable habitats.",Unknown,"This species occurs in the Richtersveld, Bushmanland and Namaqualand regions of the Northern and Western Cape Provinces of western South Africa and adjacent southern Namibia. Its altitudinal range is unclear.",19/06/2013,3.1,,TRUE,LC,,FALSE,FALSE,,Listed as Least Concern in view of its relatively wide distribution and presumed large population.,Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"It is not seriously threatened at present, since its habitat is largely secure. However, water extraction for livestock farming could eliminate local populations in future.","<p>There are no reports of this species being utilized.<a name=""_GoBack""></a></p>",54748
Afrotropical,It occurs in several protected areas.,"This species lives in Nama karroo shrubland, grassland, dry savannah and pastureland. It breeds in temporary shallow pans, pools or depressions containing rainwater, quarries, and rock pools along rivers.",Done,It is a locally common species.,Unknown,"This species has been recorded from a wide area in central South Africa and Lesotho, and also another near the Botswana border. Apparently isolated populations are perhaps part of a contiguous range. It is likely to be found in southern Botswana. It probably occurs mainly below 1,500 m asl.",10/07/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution, tolerance of a broad range of habitats and its presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"Overall, it is not seriously threatened. In some places it is negatively impacted by maize farming, but it does better in areas of livestock farming.","<p>There are no reports of this species being utilized.<a name=""_GoBack""></a></p>",54793
Afrotropical,It occurs in several protected areas that cover much of its range.,"It is a species of mountain fynbos heathland and grassy fynbos. It breeds in shallow pools in seepage areas, or moist depressions, vleis and slow streams. It uses both permanent and temporary waterbodies.",Done,It is a locally common species.,Unknown,"This species is endemic to South Africa, where it occurs in the Southwestern Cape Folded Belt east of Breede River and north of Worcester, in Western Cape Province. It ranges from Matsikammaberg near Vanrhynsdorp in the north, southward to the Hex River Mountains, and eastwards along the Langeberg mountain range to the Outenique, Swartberg and Kammanassie ranges, entering Eastern Cape Province marginally at Misgund in the Tsitsikamma Mountains. Its altitudinal range is 1,000-1,600 m asl.",18/06/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern since, although its Extent of Occurrence is probably not much greater than 20,000 km<sup>2</sup>, it occurs in an area of extensive, suitable habitat which appears not to be under very serious threat and it has a presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"The main the threat is loss of its fynbos habitat, mainly because of the spread of alien vegetation and fires taking place too frequently. Expanding human settlements might be a future threat.","<p>There are no reports of this species being utilized.<a name=""_GoBack""></a></p>",54801
Afrotropical,It occurs in many protected areas.,"It occurs primarily in grassland and wooded savannah, but also in agricultural land, livestock ranches, and around human settlements. It breeds in deep, still waterbodies, including in dirty water, with a larval stage and gregarious tadpoles.",Done,"It is generally common, but it is hard to find when it is not breeding.",Unknown,"This species ranges from northwestern Tanzania and southern Kenya (Olorgesailie) south to southeastern Democratic Republic of Congo, eastern Angola and western Zambia, as far as southeastern Botswana, southern Mozambique, Swaziland and the Eastern Cape Province of South Africa. It has not been recorded from Lesotho.",19/06/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution, its tolerance of a broad range of habitats and its presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),It is an adaptable species that is unlikely to be facing any significant threats.,"<p>There are no reports of this species being utilized.<a name=""_GoBack""></a></p>",54885
Afrotropical,It occurs in several protected areas.,It lives in montane forest and grassland. It breeds in fast-flowing perennial forested streams. It is always associated with permanent streams because the tadpole takes two years to develop.,Done,It is a common species.,Unknown,"This species ranges throughout the Drakensberg and Maluti Mountains in South Africa and Lesotho and along the eastern escarpment of South Africa and Swaziland. Its altitudinal range is 580-2,675 m asl.",19/06/2013,3.1,,TRUE,LC,,FALSE,FALSE,,Listed as Least Concern in view of its relatively wide distribution and presumed large population.,Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"The main threats are afforestation, siltation of streams, damming of mountain rivers, water extraction and the introduction of trout.","<p>There are no reports of this species being utilized.<a name=""_GoBack""></a></p>",55273
Afrotropical,Almost the whole range of this species is conserved in protected areas.,It lives in forest patches surrounded by mountain fynbos heathland outside the breeding season. Fast-flowing perennial streams are required for breeding. The tadpoles take two years to develop.,Done,It is a locally common species.,Unknown,"This species occurs only in the Eastern Langeberg Mountains in Western Cape Province, South Africa, from the vicinity of Montagu and Kogman's Kloof, eastwards through Swellendam and Grootvadersbosch Forest Reserve, probably as far east as the Gouritz River. Its altitudinal range is 215-500 m asl. Its Extent of Occurrence is less than 5,000 km<sup>2</sup>.",09/07/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern since, although its Extent of Occurrence is less than 5,000 km<sup>2</sup>, it occurs in an area of extensive, suitable habitat which appears not to be under threat and it has a presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"It is not significantly threatened. Locally, there are some impacts from alien species introductions (but less in the Langeberg than some other places), a small amount of afforestation, and fires taking place too frequently.","<p>There are no reports of this species being utilized.<a name=""_GoBack""></a></p>",55274
Afrotropical,It occurs in several protected areas.,It lives in fynbos heathland and forest. It breeds in perennial streams in forested gorges of the southwestern Cape mountains. The tadpoles take two years to develop.,Done,It is a locally common species.,Unknown,"This species is endemic to the Western Cape Province in South Africa, from the Cederberg in the north, south to the Hex River, Du Toit's Kloof, Hottentots Holland and Klein River Mountains, and eastwards along the Riviersonderend and Langeberg Mountains to the vicinity of Ashton and Montagu. It altitudinal range is 60-1,770 m asl. Its Extent of Occurrence is less than 20,000 km<sup>2</sup>.",19/06/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern since, although its Extent of Occurrence is less than 20,000 km<sup>2</sup>, it occurs in an area of extensive, suitable habitat which appears not to be seriously threatened and it has a presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"It is not significantly threatened. Locally, there are some impacts from alien species introductions (but less in the Langeberg than some other places), a small amount of afforestation, and fires taking place too frequently.","<p>There are no reports of this species being utilized.<a name=""_GoBack""></a></p>",55275
Afrotropical,It occurs in several protected areas.,It lives in fynbos heathland and forest. It breeds in fast-flowing streams in the mountains. The tadpoles take two years to develop.,Done,"There is little information, but it is probably locally common.",Unknown,"This species is endemic to the coastal mountain ranges of the Western and Eastern Cape Provinces of South Africa, from the Huis and Pederberg Rivers in the Outeniqua Mountains in the west, eastwards along the Tsitsikamma and Kareedouw mountain ranges to the Krom River Forest Reserve in the east. Its altitudinal range is 230-790 m asl. Its Extent of Occurrence is less than 20,000 km<sup>2</sup>.",19/06/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern since, although its Extent of Occurrence is less than 20,000 km<sup>2</sup>, it occurs in an area of extensive, suitable habitat which appears not to be seriously threatened and it has a presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"Much of the range is protected, but some afforestation is taking place. Other threats include siltation of streams, and perhaps fires taking place too frequently.","<p>There are no reports of this species being utilized.<a name=""_GoBack""></a></p>",55276
Afrotropical,"<strong><em>Conservation Actions</em></strong><br/>It occurs in many protected areas. <br/><br/><em><strong>Research Needed</strong></em><br/>Further research on the distribution, population status, ecology, threats and taxonomy is required.","Through most of its range it is a woodland and savannah species, though it occurs in rainforest and secondary habitats in West Africa. It is fossorial during the dry season when it nests in a burrow in wet soil by temporary water (even up to 200 m from water). The tadpoles move into water including artificial water bodies (probably in the same way as <em>Hemisus marmoratus</em>) and the female guards the nest.",Done,Little is known about the species' population size and abundance.,Unknown,"This species occurs from Senegal east to Kenya, and south to Angola, northern Botswana, central Mozambique, and extreme northern South Africa. It is rarely found in forest regions, but has been recorded in some forest areas (northeastern Democratic Republic of the Congo). Definite records are lacking from certain countries within its mapped range: Togo, Central African Republic, Rwanda, Burundi, and Namibia. It might also occur in South Sudan (which is not included in the species' distribution on the map). There are few records from the different parts of its range, and so the map should be considered as highly provisional.",08/01/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution, tolerance of a wide variety of habitats and its presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"Given how little this species is known, it is difficult to evaluate threats faced by this species.","<p><span lang=""EN-US"">There are no reports of this species being utilized.</p>",55279
Afrotropical,"<strong><em>Conservation Actions</em></strong><br/>It occurs in many protected areas. <br/><br/><em><strong>Research Needed</strong></em><br/>Further research on the distribution, population status, ecology, threats and taxonomy is required.","It is typically a savannah species, though it has also been found in primary and secondary forest, farm bush, montane grassland, and plantations. It breeds in permanent and temporary waterbodies, including isolated pools in rivers when the water levels drop. The eggs are laid in subterranean nests, where the tadpoles hatch. They subsequently move into water (the females dig channels for them to move along if they are close to water). It is likely that the females also carry the larvae to water, though this is not yet proven.",Done,"Because of its fossorial habits, it is generally seen only when it is breeding, or during the rainy season. Well surveyed areas have found this species to be abundant (e.g.West Africa and northern South Africa).",Unknown,"This species is widespread in the savannah zone of sub-Saharan Africa, from Senegal and Gambia, east to western Eritrea, western Ethiopia, and southern Somalia, thence south to the northern and northeastern parts of South Africa, eastern and northern Botswana, northeastern Namibia, and Angola. It occurs from sea level up to 1,850 m asl in Ethiopia.",08/01/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution, tolerance of a wide variety of habitats and its presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"It is an abundant and adaptable species, which faces no significant threats. Harvesting of the species for human consumption and the international pet trade are not thought to constitute a major threat.",<p>This species is harvested as food for local consumption and trade (Mohneke <em>et al. </em>2010). It is also sometimes found in the international pet trade.</p>,55281
Afrotropical,It occurs in many protected areas.,"It is a species of coastal bush land; savannah, shrubland, grassland, forest, thicket and anthropogenically disturbed habitats. It breeds in emergent vegetation usually at the edges of relatively permanent water (including marshes, vleis and pools) favouring plants with long leaves that can be folded to make leaf nests over water.",Done,"It is common in the north of its range, where it occurs in very large breeding aggregations, but it has declined in extreme south of range where it is not common (though it is possibly under-recorded).",Unknown,"This species ranges from Avoca and Mount Edgecombe in KwaZulu-Natal (eastern South Africa) northward through the coastal belt of Mozambique, the low altitude parts of Malawi to Tanzania (inland as far as Singida and Ushora), southeastern Kenya, and southern Somalia as far north as Marere. It also occurs on Zanzibar. Though its presence is uncertain in Swaziland, its species distribution on the map does include Swaziland. It is a low altitude species, and is found below 300 m asl in South Africa, and below 500 m asl in most of its range.",17/07/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution, tolerance of a broad range of habitats and its presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"In the south of its range it is threatened by sugar cane farming, urbanization, and the spread of eucalyptus (drying up breeding sites). Chemical spraying to control mosquitoes might impact some populations. However, overall it is not threatened.",There are no reports of this species being utilized.,56059
Afrotropical,It occurs in many protected areas.,"It is a species of moist savannah, bush land, grassland, and dry forest, with a possible preference for dense savannah. It breeds in permanent and semi-permanent pools, dams, vleis and marshes with reeds and sedges, tending to favour permanent waterbodies. The eggs are laid on emergent vegetation, particularly on leaf blades of Cyperus sedges.",Done,"It is an abundant species in suitable sites, breeding in small congregations.",Unknown,"This species ranges from coastal Kenya southward through eastern and southern Tanzania, Malawi, Mozambique and eastern Zimbabwe to coastal KwaZulu-Natal in South Africa. Though its presence is uncertain in Swaziland, this area is still mapped on the species distribution. It is a lowland species generally occurring below 300 m, though it has been recorded up to 1,300 m asl.",24/06/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution, tolerance of a broad range of habitats and its presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"In the south of its range it is threatened by sugar cane farming, urbanization, drainage of breeding sites, afforestation with pines, and the spread of eucalyptus (drying up breeding sites). Chemical spraying to control mosquitoes might impact some populations. However, overall it is not threatened. It is sometimes found in the international pet trade but at levels that do not currently constitute a major threat.",It is sometimes found in the international pet trade.,56063
Afrotropical,It occurs in many protected areas.,"It lives near water in low elevation dense, humid savannah and grassland. It breeds in shallow pans, vleis and marshes, with floating and emergent vegetation, usually, though not always, preferring temporary water.",Done,"It is generally a common species, though it has declined in areas heavily impacted by human activities in South Africa.",Unknown,"This species from the eastern side of the African continent ranges from extreme southern Somalia, south through Kenya, Tanzania and Mozambique to KwaZulu-Natal in eastern South Africa, and inland to southern Malawi and extreme southeastern Zimbabwe. It is a low-altitude species, occurring up to 300 m asl in South Africa.",25/06/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution, tolerance of a wide variety of habitats and its presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"It is generally not threatened, but it is affected by urban expansion, agricultural intensification and the introduction of bass in the south of its range. It is sometimes found in the international pet trade but at levels that do not currently constitute a major threat.",It is sometimes found in the international pet trade.,56112
Afrotropical,It occurs in many protected areas.,"It is associated in with emergent vegetation at the margins of swamps, rivers and lakes in all types of savannah, grassland and bush land, as well as many human-modified habitats, including cultivated land, towns and gardens. It spreads rapidly into recently created waterbodies. It breeds in a wide variety of aquatic habitats, ranging from very small to very large ponds, usually using permanent, but often also in temporary, waterbodies. The eggs are deposited directly into the water.",Done,"It is an extremely abundant species, and it is extending its range towards the southwest in South Africa.",Increasing,"This species ranges from northern Mozambique, through eastern Malawi and eastern Zimbabwe to Swaziland and eastern and southern South Africa. The western parts of the range in the Limpopo and Mpumalanga Provinces of South Africa probably represent recent spread at higher altitudes. It has also extended its range along the south coast of South Africa (it originally did not occur west of Tstitsikamma). The distributional limits between this species, and other members of the <em>Hyperolius viridiflavus</em> complex, in particular <em>H. glandicolor</em> and <em>H. marginatus</em>, are extremely unclear. The distribution map should therefore be regarded as provisional. It occurs from sea level up to 1,600 m asl in South Africa.",26/06/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its very wide distribution, tolerance of a broad range of habitats and its presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),It is an extremely adaptable species that is not facing any significant threats. It is sometimes found in the international pet trade but at levels that do not currently constitute a major threat.,It is sometimes found in the international pet trade.,56163
Afrotropical,It occurs in many protected areas.,"It lives generally in lower-lying coastal regions, and at higher altitudes in some places. It is a species of open savannah, bush land and grassland. It can survive in some modified habitats, and can re-establish populations following serious disturbance. It breeds in shallow pans, vleis, open swamps, and dams with water lilies or other floating vegetation. It uses both semi-permanent and permanent water. It differs from the similar <em>Hyperolius viridis</em> in that it calls from floating vegetation, as opposed to grass in wet fields.",Done,"It is a very common species through most of its range. It is relatively abundant in South Africa, often occurring in large numbers at breeding sites.",Unknown,"This species ranges from southernmost coastal Somalia south along coastal lowlands of Africa to southern KwaZulu-Natal in South Africa. There are also inland records in southern Kenya, southern Malawi, and southern Zimbabwe. Records from northern Malawi and northern Botswana are disjunctive from the main range of the species, and A Schiøtz (pers. comm.) has suggested that the Botswana records might not refer to this species. Records from extreme western Kenya and Soroti in central Uganda are not mapped and require confirmation. It occurs on Mafia and Songo Songo islands in Tanzania.",27/06/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution, tolerance of a broad range of habitats and its presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),It is an adaptable species that is not facing any significant threats.,<p>There are no reports of this species being utilized.</p>,56189
